###!bad### if a #team player had done that to #player down the other end, most #team fans on here would be screaming penalty and calling them thugs.
#####
###!bad### bloody stupid from #player but i'm struggling to see how the refs not given him a straight red? what does he think he's seen...  
#####
###!good### i love you #player. missed the lad soo much.
#####
###!bad### this is one of the worst calls i've seen holy fuck 
#####
###!bad### #player still cannot pass/cross
#####
###!good### incredible last-ditch intervention from #player to stop what would've been a certain goal from #player. #score. 
#####
###!good### spot on. 
#####
###!bad### #player is now playing nonsense
#####
###!bad### cant see how people are bitching at the ref , bitch at #player
#####
###!bad### #player this ain't bloody rugby
#####
###!good### what a clearance by #player!!!!
#####
###!good### mignolet is the pl's best at saving pens, he's surprisingly really good at it 
#####
###!bad### #player dafuq???
keep your cross down
###!bad### #player fuck off man
#####
###!bad### ah fuck off #player
#####
###!bad### @n12gooner i don't it was a pen but many gooners are saying #player's ch#playerge was stupid. i don't even bother to engage in conversation.
#####
###!good### everyone hating on #player for giving away 1 penalty like he's some god and ain't gonna make mistakes
#####
###!bad### ali mohamed ali has launched his propaganda against #player. do you know why?
#####
###!good### #player made that pass while he was slipping. how?
#####
###!bad### lol #player's coming off is swear
#####
###!good### #player already making a difference. #team haven't accounted for his insertion at rb for #player yet.
#####
###!bad### really hard to say if it was or wasn't a penalty, elbow was high but wasn't looking at #player and didn't seem as if there was intent
#####
###!bad### #player-#player has always been #team's worst pairing. can't pair two aggressive cbs together unless you're as good as pepe-ramos.
#####
###!bad### me either rt @franksno9: never heard of peter #player 
#####
###!bad### *good movement from #player
and then the cross......
#####
###!good### has there been a more inspired position switch than #player at right wing back!?  
#####
###!bad### #player is playing shit...he's slightly becoming overrated
#####
###!bad### all i'm saying is, if joe #player doesn't die from that brutal elbow to the temple by #player then he's a cheating little cunt
#####
###!bad### stat: petr #player has faced 12 penalties in the premier league since 2011/12, he's not saved a single one of them. 
#####
###!bad### no idea why wilshere isn't at #team instead of #player. bad decision
#####
###!good### still can't believe #player is not worthy of a spot in the scotland midfield where we lack any creativity. 
#####
###!bad### #player really needs to step up and show more effort. he should have had 2 goals. 
#####
###!bad### that ball from #player was not
#####
###!bad### its ok people saying that wenger aint been playing #player because he is a liability but we knew what we were signing
#####
###!good### nearly, from a cross from #player. #team pushing hard for a leveller.
#####
###!bad### #player what's wrong with you today?
#####
###!bad### @sabret00the #player saw him coming &amp; still did it, should be off
#####
###!bad### @iambeckish @gunnerblog was a foul, and so unnecessary for #player to do. he'd already won the ball back.
#####
###!bad### #player can get sub at the half tho
#####
###!good### yep yep ospina needed 
#####
###!good### look how good #player is man
#####
###!bad### @phillyhotspur more as in what could #player have really done? it was a coming together. super unlucky and harsh on player imo.
#####
###!good### #team fans: #player will save this penalty 
#player: 
#####
###!bad### @horsemanziik he didn't had to stick his elbow out at #player like that
#####
###!bad### #player is having a nightmare
#####
###!bad### somebody come for #player nuh stupse
#####
###!good### wtf you on about, he's been responsible for our best moves this game. 
#####
###!bad### #player not playing well, that's for sure
#####
###!bad### #player needs to take it easy at the gym. should take a break from leg day. too many heavy passes and crosses 
#####
###!bad### this your #player is rubbish
#####
###!bad### and they said #player is better than pogba
#####
###!bad### @goodmanespn   #player twice kicked players in the nuts... and espn celebrated his play... coach k laughed... and #player got to play
#####
###!bad### if we ever get in a penalty shoot out sub him 
#####
###!bad### what good does #player do??
#####
###!bad### if someone like theo or ramsey gave away as many chances to the other team as #player niggas would be roasting.
#####
###!bad### fuck off #player suiss fucking dickhead
#####
###!bad### lol #player is actually shite
#####
###!bad### if someone like theo or ramsey gave away as many chances to the other team as #player niggas would be roasting.
#####
###!bad### look at #player lol
#####
###!good### my baby #player is back
#####
###!bad### some have pointed out and i agree, if #player got called for a penalty for an elbow to the face, wouldn't that also be a card?
#####
###!good### #player's long balls are catching #team off guard. we need a goal so badly!

#####
###!bad### #player having a bad day
#####
###!bad### #player doesnt play little dinks does he. its smash it or nothing
#####
###!bad### everytime wenger starts to trust #player he does something like this smh
#####
###!bad### @heisenbergkamp @gunnerblog @arse2mouse unrelated to this discussion, but when did #player last touch the ball?
#####
###!good### watch #player score now tho
#####
###!bad### @gunnerblog incoming #player injury.
#####
###!good### #player showing just why he's one of our best defenders there.
#####
###!good### #player winning the penalty and #player scoring it, against #team. beautiful.
#####
###!bad### not a good performance for #player today
#####
###!good### #player get in there son. finally doing something good for liverpool 2 years after we sold him 
#####
###!bad### #player can never save a penalty for us
#####
###!bad### @premierleague will #player get a ban? probably not cos it's  not  
#####
###!bad### wtf #player header.
#####
###!good### that is sensational defending from #player
#####
###!good### if i remember correctly #player saved a penalty for chelsea against bayern in the ucl finals
#####
###!bad### #player never saves penalties. just think with his frame and experience he would be more dominant
#####
###!good### #player ,mesut #player,hector #player world class but wrong team
#####
###!bad### #player thats too much on the cross we had three players lined up 
#####
###!bad### if it's an intentional elbow by #player it's a least a yellow card and if it's not then it's not a penalty. you can't have 1 without the other
#####
###!bad### lol... #player
#####
###!bad### #player wake up
#####
###!good### hector #player is a fucking babe tho
#####
###!bad### what on earth is #player doing
#####
###!good### c'mon lads there's still time to turn things ard. dibs on #player to get a goal haha
#####
###!good### #player scores birthday goal. #team up against #team
#####
###!bad### #player lmfaoo awful
#####
###!bad### watch #player get benched next game.  
#####
###!bad### #player has been bad, coq has not touched the ball yet 
#####
###!bad### #player gives me heart palpitations
#####
###!bad### #player main abilities 
over hitting everything 
fouling 
breaking bones
#####
###!bad### the likes off #player and sane should thank pogba's pricetag for covering their shitty performance this season
#####
###!bad### lol #player. a wah that
#####
###!bad### a blind man will score a penalty against #player...
#####
###!bad### #player... lmfao
#####
###!bad### @ramuklawjju that was reckless from #player
#####
###!bad### what the fuck #player?
#####
###!bad### #player is useless
#####
###!bad### #player needs to be taken off.
#####
###!good### welcome back hector #player
#####
###!bad### #player that out
#####
###!bad### #player? helmet on too tight?
#####
###!bad### the commentator on my stream actually just said, "should more action have been taken against #player there?"

i'm. about. to. lose. it.
#####
###!bad### #player don't be stupid.
#####
###!bad### #player is actually having a mare
#####
###!bad### #player ????? crazy man 
#####
###!bad### #player got lucky there!
#####
###!bad### #player wth u doing
#####
###!bad### wtf #player why
#####
###!bad### imagine if a #team player had done that to say #player or #player in the oppostion's box. #team fans have to be consistent 
#####
###!bad### lmao #player is finished keeper smfh
#####
###!bad### @theoddsbible are you stupid or just playing? it's an obvious penalty he touched zero of the ball(#player)
#####
###!bad### #player, how???
#####
###!bad### #player needs to calm the fuck down brah
#####
###!bad### lmaoo! what's petr #player doing?
#####
###!bad### #player needs to whack that little manlet, joe #player, in the head for real this time
#####
###!bad### lol #player
#####
###!bad### #player dawg tf
#####
###!bad### why is #player playing so deep?
#####
###!bad### yeah, #player. let's not test out that cap.
#####
###!bad### wtf #player get out of #player's way
#####
###!bad### #player is a cunt
#####
###!bad### #player has been poor for a while now
#####
###!bad### @sussexstokie never a pen according to jenas on bt. #player must have attacked #players elbow with his face
#####
###!good### wahh...great defensive work... i swore #player made it #score
#####
###!good### #player brave ic
#####
###!bad### here come the "blame #player" tweets
#####
###!good### #player is 2ft taller than #player. how is he supposed to lower his arms when they are naturally level with #player's face?
#####
###!good### @gunnerblog @arse2mouse @heisenbergkamp so when someone runs at you at full speed you are not allowed to protect yourself? #player runs into x
#####
###!bad### fucking #player
#####
###!bad### what the fuck is #player doing back there?
#####
###!bad### where is #player???
#####
###!good### argh. #player close. 
#####
###!bad### wtf #player
#####
###!bad### #player cannot catch p.k
#####
###!bad### #player is dropping deep to try and influence the game. it isn't working. 
#####
###!good### #player found his birthday present and it was in the back of the net  
#####
###!bad### lol #player wut?
#####
###!bad### fellani is the only midfield player you can compare with #player others are way ahead of him...
#####
###!bad### #player is a cunt?
#####
###!bad### i honestly mentally disturbed with #player today. pls
#####
###!bad### petr #player is drunk.
#####
###!bad### #player just dives to anywhere before any penalty is being played
#####
###!bad### #player is becoming rusty. bring on ospina!
#####
###!bad### #player is utter pony
#####
###!bad### terry butcher: "there's a song called chaka khan but #player can't."

no, terry.
#####
###!bad### fuck off #player, i like him but he's been fucking awful today
#####
###!good### wonderful homage to szczesny by petr #player there. love it when players acknowledge the club's history.
#####
###!bad### 3 free men if #player tones down the power on his cross there. need to be patient.  
#####
###!bad### if it's an elbow to the face then surely it's a yellow/red in order to give a penalty?!! i'm confused #player just runs into his elbow
#####
###!bad### #player's best abilities is conceding penalties and getting booked
#####
###!bad### lmfaoo, #player
#####
###!bad### the last time maybe the only time petc #player is good at saving penalty was that munich night 
#####
###!bad### petr #player, what was that?
#####
###!bad### @mebewale stonewall penalty. stupid and reckless from #player
#####
###!bad### #player missing yet again but the team has not played well so far 
#team been the better team imo
#####
###!bad### no presence up front. #player keeps dropping deep.
#####
###!good### outstanding from #player to get to that, otherwise that was a certain goal for mesut.
#####
###!bad### time to bin #player.
#####
###!bad### #player. i'm laughing now but that was not funny
#####
###!good### jamie #player scores from the penalty spot on 33 mins after he was tripped in the area by paddy miller (#score) 
#####
###!bad### #player wut you doin mate?
#####
###!bad### lol #player's gone mental, oh boy
#####
###!bad### agreed.  but would be nice if #player could save a penalty.  ever.  zero of 7 since joining club by my count. 
#####
###!bad### what was #player doing ?
#####
###!bad### #player wtf was that
#####
###!bad### i really dislike #player. helmet nonce.
#####
###!bad### lol #player
#####
###!good### #player will grow into the league. who can forget a raw #player lol
#####
###!bad### #player became flappy bird
#####
###!good### at least #player's back
#####
###!bad### lol #player
#####
###!bad### am done with #player tbh
#####
###!bad### i rate #player but he's bit of a loose cannon. his thrid mistake of the season at home.
#####
###!bad### #player was overreacting a little bit still 
#####
###!bad### #player nearly fucked up
#####
###!bad### wtf from #player
#####
###!bad### #player needs to clear his head  trying too hard after penalty
#####
###!good### #player: has scored his first goal
since may (vs crystal palace) 
#####
###!bad### #player almost made a big mess there. 
#####
###!good### here for joe #player goal
#####
###!bad### anybody who watched #player in the buli knows he did this on a regular 
#####
###!good### don't think #player meant that. can see why it was given but think he was a bit unlucky
#####
###!bad###    what kind of a cross was that #player
#####
###!bad### #player on some green today so obvious
#####
###!bad### @saad_gooner at least he didn't hurt anyone. #player usually goes out to damage players.
#####
###!bad### @#team @hector#player @mesut#player1088 sell #player
#####
###!bad### #player having a bad game.. 
#####
###!bad### #player... has he ever saved a penalty before?
#####
###!bad### take off your skully before heading the damn ball #player
#####
###!good### we've missed #player
#####
###!bad### wait, where is #player?? didn't realise #player was playing until now 
#####
###!bad### #player is having a nightmare
#####
###!bad### that wasn't funny #player...
#####
###!bad### maybe that's why wenger doesn't start #player much. disciplinary issues maybe? that's a 50/50 pen for me, can't really argue with that tbh. l
#####
###!good### in the last minute two great off the ball moves by #player completely ignored by both teams
#####
###!bad### #player is part of our problems right now
#####
###!bad### lol #player
#####
###!bad### #player lacks discipline, did in the bundesliga.
#####
###!bad### we seem a bit rattled. everybody from hector to #player to #player needs to calm down
#####
###!bad### #player keeps overpowering his passes ffs
#####
###!good### #player's been quality today
#####
###!bad### #player you lunatic 
#####
###!bad### #player can't save penalty to save his life
#####
###!bad### playing him seem to be more costly 
#####
###!bad### i hate #player
#####
###!bad### wdf #player doing now
#####
###!bad### come on #player dont disappoint today please
#####
###!good### #player: has scored his first goal since may (vs crystal palace) 
#####
###!good### coquelin &amp; #player have been good. everyone else has been pissing about.
#####
###!good### #player has a shot on goal that's deflected away towards a waiting #player, but #player slides in front and denies spectacularly!  
#####
###!bad### @santcazoria great opening 15 minutes for #team. #player the idiot gave away a penalty.
#####
###!bad### i'm going to sell #player dude can't keep a damn clean sheet
#####
###!bad### i have no idea why. always. it's always a lost with #player and penalties 
#####
###!bad### remember szczesny saying that wenger gave him stick for not catching any pens, i wonder what wenger says to #player. he is poor with pens.
#####
###!bad### heard #player has been shit. lmao what's new
#####
###!bad### @dxrlow @afcstuff exactly, #player will 100% get banned, disgrace
#####
###!bad### #player should watch his fucking arms, even if #team milked it.
#####
###!good### how did #player header that? looks like he is healing up nicely.
#####
###!bad### #player is all over the place
#####
###!bad### has #player touched the ball in this game?
#####
###!bad### fuck off #player
#####
###!bad### fuck sake! #player c looking like a bad decision this week! i might make a new rule to move c everyweek regardless 
#####
###!good### great pass #player
#####
###!bad### haven't seen much of #player
#####
###!good### good defending by diof to stop #player, the resulting came to naught  
#####
###!bad### crossing balls to to 5ft 8 #player against 6ft 4 martins indi....... good plan......
#####
###!good### @padful no but seriously- well done to #player for scoring on his bday. you only turn 45 once
#####
###!good### good chance for #player but his shot is comfortably saved.
#####
###!good### he has the highest number of clean sheets in premier league history mate. "@shejiunited: #player doesnt keep cleansheets"
#####
###!bad### got sent off, gave the ball away which led to a goal for swansea and now this. 
#####
###!bad### nah nah #player is finished
#####
###!bad### with the antics today's, and the liverpool goal last season. i utterly despise joe #player.   
#####
###!bad### i don't think i want to see #player head a ball ever again
#####
###!bad### no helmet and that's over #player's head
#####
###!bad### #player is a problem
#####
###!bad### the number of passes #player misses is ridiculously frustrating.
#####
###!bad### unnecessary fouls and goals conceded 
#####
###!bad### jesus fucking christ, i really do not trust #player.
#####
###!good### #player is better than hazard. and the difference is striking. literally. 
#####
###!good### hector #player is my spirit animal
#####
###!good### #player showing what we've been missing. very sharp and direct
#####
###!bad### #player ghosts when we are not playing well and wants to demand high wages uno.
#####
###!bad### #player are you alright
#####
###!bad### i don't like when #player drops so deep
#####
###!good### just look at the quality from #player, man should just become a winger
#####
###!bad### i want to understand something: why was #player not given any card for that ch#playerge?   
#####
###!bad### #player...relax my guy
#####
###!good### lol wtf was #player supposed to do? ridiculous decision  
#####
###!good### what a pass by #player good foot work by belerin but unlucky
#####
###!bad### #player still shit
#####
###!bad### seriously fuck u #player
#####
###!bad### #player leave my club
#####
###!good### we missed you #player
#####
###!bad### #player and heavy long passes
#####
###!bad### mood: regretting captaining #player
#####
###!bad### #player is slowly declining 
#####
###!bad###    absolutely no confidence during penalties when #player is in goal. he never saves one!
#####
###!good### goal for  - jame #player scores from the spot to give the visitors a #score lead at 
#####
###!good### @mediocentroen #player guaranteed to score.
#####
###!bad### never been a fan of #player, just too many costly errors  @gunnersafc
#####
###!bad### #player nearly done me btw
#####
###!good### #player is too much
#####
###!good### all this talk sha, #player needs to do back to back hattrick.
#####
###!good###  go #player, go #team!!!
#####
###!bad### #player fucking around lol
#####
###!bad### #player why did you let that be a corner
#####
###!bad### and can we stop playing #player abeg. this guy is mid table quality really.
#####
###!bad### wtf is wrong with #player?
#####
###!bad### what the fuck was #player doing there?
#####
###!good### #player still unreal. one error doesn't change that lol
#####
###!bad### such an overrated midfielder
just a poor man's joe #player 
#####
###!good### 36' #player has a shot blocked, close. #score 
#####
###!bad### #player mia again a thoroughly shit performance so far.
#####
###!bad### how on earth did #player not get sent off
#####
###!bad### @sufi_ariff bloody #team #score #player conceded the penalty
#####
###!bad### @futbolvk #player has never been a class gk. always protected john terry and co.
#####
###!bad### #player needs to calm down. lots of people concede penalties. this is #team. keep playing your game.
#####
###!good### what a ball #player
#####
###!good### it's one of those where if it's outside the box it's 100% foul, but in the box it's debatable. don't think there was any intent from #player.
#####
###!good### good game so far #player man of the match for me.
#####
###!good### #player: has scored his first goal since may (vs crystal palace) 
#####
###!bad### #player misses a glorious chance with no one around him
#####
###!good### first and likely last time will celebrate anything #player does! come on #team. 
#####
###!bad### i don't like when #player drops so deep
#####
###!bad### #player needs to get involved
#####
###!good### you can see the difference #player makes already
#####
###!bad### to me, that's a red card, or it's not a foul. #player has the ball, #player runs into him. if he lashed out, red. if not, no foul
#####
###!bad### #player is taking he piss
#####
###!bad### he's our playmaker if he isn't doing anything then neither does anyone else 
#####
###!good### nacho #player has to be the coolest name in the @premierleague. 
#####
###!bad### lee mason has done us a favour by not sending #player off. looked like red to me
#####
###!good### #player is out ere whatever the weather. even if he's playing shit you'll always see him in the game
#####
###!bad### #player is not even in this match
#####
###!bad### #player fc what's up? turn up turn up turn up
#####
###!bad### @futbolvk #player has never been a class gk. always protected by john terry and co.
#####
###!good### #player saved penalties at chelsea though.
#####
###!good### #player scored 2 goals from long range, he immediately went ahead of scholes and gerrard.
#####
###!bad### #player is terrible - complete waste of money. started two games - has been sent off &amp; now gives away a penalty 
#####
###!bad### he's bad making ch#playerges on players 
#####
###!good### #player has earned my respect, definitely world class and a top 5 epl player.
#####
###!good### #player needs to keep playing on the shoulder like he has done. when we go down, he wants to be involved by dropping to the left.
#####
###!bad### #player so useless! free my mans bony
#####
###!bad### @nbcsportssoccer #player sucks.
#####
###!bad### ii blame #player tbh
#####
###!bad### theo #player is the most bang average footballer in this league. don't care how many goals he's got can't even beat a player 1v1.
#####
###!bad### i'm afraid #player as good as he is he is our new flamini just on the edge of a red card.... he's got a bad disciplinary record anyway
#####
###!bad### @gunnerpunner ox and #player need to show up or else #player can't do much.
#####
###!good### remembering that #player is still only 21 makes me weep with joy. what a baller.
#####
###!bad### #player is a bit shit isn't he
#####
###!bad### aside from the goal we've been lethargic &amp; disjointed. #player inclusion is nice to see but been wasteful with opportunities.
#####
###!bad### #player can be lazy sha. 
so annoying
#####
###!bad### #player is shite
#####
###!bad### #player has been awful today
#####
###!bad### what the fuck is #player doing
#####
###!bad### no red card for #player... what's that all about? 
#####
###!bad### clear red card for #player ffs! blind perry mason. 
#####
###!good### #player superb player!
#####
###!bad### when are these #player fanboys gonna realise he's a complete liability?
#####
###!bad### fuck off #player
#####
###!good### @yankeegunner at least #player is back (hopefully close to 100%)
#####
###!bad### #player playing?
#####
###!bad### #player has just given wenger the excuse he needs to drop him for another 4 games, oh dear
#####
###!bad### how is that not a red? #player
#####
###!bad### @#teamfantv ..you remember the last time petr #player saved a penalty? not sure he's ever saved any for #team.
#####
###!bad### directly or indirectly #player has caused us to concede #score goals already this season
#####
###!bad### #player looks a poor player, way off the quality needed. 
#####
###!bad### #player isn't desciplined at all
#####
###!bad### #player has some issues man lmaoo
#####
###!bad### joe #player ur a fucking pussy m8
#####
###!bad### no doubt #player be reckless occasionally
#####
###!bad### #player should've seen red.
#####
###!bad### how the fuck did #player not get a card for that, fellaini or luiz would've gotten a red card instantly
#####
###!bad### #player is a liability?
#####
###!bad### fuck u joe #player. i seriously hope he gets hurt . maybe bump into the ref
#####
###!good### thought el nenny-#player combo should be given more time
#####
###!bad### wtf #player
#####
###!bad### #player is such garbage
#####
###!bad### when is #player not offside?
#####
###!good### so good to have #player back

#####
###!bad### @jasoncundy05 have you seen mesut #player?? i can't find him
#####
###!bad### #player needs to use his brain more.
#####
###!bad### @#teamfantv #player s in one of his funks today, need a sub at halftime or this game is good as lost ,
#####
###!bad### #player for #team is a pussy. huge pussy.
#####
###!good### @thee_maveric mingi sana! #player has saved us points on numerous occasions.
#####
###!bad### fuck off #player and #player is a knobhead
#####
###!bad### @#team#team joe #player is a total bitch
#####
###!bad### come on #player so inconsistent
#####
###!bad### it was a clear penalty, clumsy from #player...
#####
###!good### #player been the only player for us taking risks and trying to open #team up. clueless rival fans piping up too, calma
#####
###!bad### #player you idiot
#####
###!good### #player may be adjusting to being a cf but for me his best position is wide.
#####
###!bad### #player always goes the wrong even before the pk is taken. be brave petr!
#####
###!bad### #player is so rusty man, he's clearly lacking match fitness
#####
###!bad### that's quite a bad decision by #player there to give away the penalty
#####
###!bad### @xjae yeah i avoid all things #player now
#####
###!bad### we keep pretending as if assigning our midfield defensive duties to #player is a good idea. i beg to differ
#####
###!bad### he doesn't save pk's  ever 
#####
###!bad### offside, #team. marc #player tries a through ball, but marko #player is caught offside. 
#####
###!bad### corner,  #team. conceded by mame biram #player. 
#####
###!good### #player love  you.
#####
###!bad### why is #player caught offside 5 times every game
#####
###!bad### #player is a fucking dumbass.
#####
###!good### joe #player is a beast rho
#####
###!bad### the worst part about #player is that it doesn't even look like he tried on penalties, he just falls down to one of the sides???
#####
###!good### i love #player. they give me chick-fil-a
#####
###!good### omg unreal feet #player
#####
###!bad### so when is #player  coming on? 
#####
###!bad### #player record at saving penalties is shit
#####
###!good### ffs #player has actually been v good today as well.
#####
###!bad### #player really is a walking red card. how did he ever get those house keys  
#####
###!good### #player looks fit.
#####
###!bad### #player on one of those days he is pissed at everything every other player does apart from #player
#####
###!good### #player is an engine, decent player to be fair.
#####
###!bad### ffs #player
#####
###!good### lmao. #player the savior.
#####
###!bad### #player should've been sent off.. mad elbow there on #player
#####
###!bad### #player is so trash.
#####
###!bad### what #player just did now, was a foul but the brainless referee ignored it.
#####
###!bad### #player needs to wake up
#####
###!bad### #player shoot
#####
###!bad### #player smh
#####
###!bad### #player liability 
#####
###!good### #player almost came through.
#####
###!good### score that #player
#####
###!bad### #player and ox. where are you lol
#####
###!bad### must have been red card for #player 
#####
###!bad### #player is like having an 80 yr-old in goal lol
#####
###!bad### i really don't know about #player you know, seems like more trouble than he's worth
#####
###!bad### #player could have scored ffs
#####
###!bad### #player off please he has been useless.
#####
###!bad### #player is so ch#playerged when it comes to defending
#####
###!good### this joe #player guy is actually good.
#####
###!bad### #player playing like shit
#####
###!bad### #player is having a slow first half
#####
###!bad### #player na waste
#####
###!bad### wake up #player ffs
#####
###!bad### #player is no where near good enough to be that lazy. 
#####
###!bad### #player is too much of a hothead for my taste. 
#####
###!good### #player in behind there after some dallying from #player, good block prevents him doubling #team's lead. 
#####
###!bad### was wondering why wenger didn't start #player in the game vs psg when i was watching a few weeks ago. now i can see. swiss lee cattermole
#####
###!good### 40- terrific block by #player, stopping #player's shot on target. #score 
#####
###!good### i'd shag #player
#####
###!bad### #player. romances that ball a little too much. ugh!!
#####
###!good### fuck. #player. superb play from #player though. brilliant.
#####
###!bad### even by #player's standards he looks languid and disinterested today
#####
###!good### oof billy #player just about did us then
#####
###!good### #player has been ok 
#####
###!bad### god damn it, we need a number 9 on. #player isn't cutting it on his own
#####
###!bad### #player is so shit
#####
###!bad###  is a poor mans 
#####
###!bad### should have scored #player! 
#####
###!bad###  is one of those players you don't feel guilty about wishing a broken leg on
#####
###!bad### #player awful so far.
#####
###!good### even #player knows #player and #player are d finest 
#####
###!bad### #player looks tired
#####
###!good### #player looking like a player for once! flies through #team defence, #player blocks at the last 
#####
###!bad### take #player off he's been fucking dreadful
#####
###!bad### #player and ox have offered nothing in this game
#####
###!good### would #player be liverpool's best midfielder right now if they kept him?
#####
###!bad### that #player who plays for  is a dirty twat!
#####
###!bad### #player not playing well at all
#####
###!bad### #player playing in the penalty area like a clown. 
#####
###!good### #player is really dangerous.
#####
###!bad### #player and #player anonymous so far yh 
#####
###!bad### is #player match fit
#####
###!good### modric is a glorified joe #player
#####
###!good### #player powers #player and sets u #player who showed some lovely feet but just couldn't get his shot away 
#####
###!good### arnie is actually class. joseph #player is quality.
#####
###!bad### #player greedy fuck
#####
###!bad### #player having a mare
#####
###!good### joe #player so so good
#####
###!good### #player's doing really well at right wing-back. fulfilling his defensive responsibilities diligently
#####
###!bad### #player does far too little
#####
###!good### joe #player so classy at times
#####
###!good### #player with the fancy footwork there
#####
###!good### thank you joe #player.
#####
###!good### joe #player's beast mode is on
#####
###!good### #player cut his hair and he is playing so well. samson in reverse
#####
###!bad### #player has been dreadful
#####
###!bad### #player not doing himself any favours
#####
###!bad### #player is actually stupid kmt
#####
###!good### #player drops deep and connects defense to attack, but yerda thinks he's shite
#####
###!good### #score. #player.
#####
###!bad### #player having a stinker
#####
###!good### #score #player 
#####
###!bad### #player is awful. flat out awful
#####
###!good### #player #score
#####
###!bad### #player and ox really don't look arsed so far
#####
###!good### #player ruined #player and #player omg if only he scored
#####
###!good### #player equalises.
#####
###!good### #player again
#####
###!good### #player!
#####
###!good### hector #player what a assist
#####
###!bad### #player needs a gym session
#####
###!good### good block by #player to deny anatorvic  
#####
###!good### goal theo #player
#####
###!good### #player what a goal
#####
###!bad### #player has been soo poor so far
#####
###!bad### fuck off #player
#####
###!good### #player!!!!!!!
#####
###!good### theo fucking #player!
#####
###!good### #player!
#####
###!bad### #player not having his best game. forcing play, probably because he feels guilty.
#####
###!good### goal #player
#####
###!bad### #player looking sloppy
#####
###!good### #player. we got this.
#####
###!good### yeah!!! #player!!!!
#####
###!good### 100 for #player
#####
###!good### theo #player, equalizer.
#####
###!good### #player yet again!!
#####
###!good### called it. nice finish #player. #score
#####
###!good### #player almost scored ffs
#####
###!good### #player goal #score
#####
###!good### yes #player
#####
###!good### yes #player #score
#####
###!good### oh how they missed #player!
#####
###!good### what a finish #player
#####
###!bad### #player is so dead
#####
###!good### #player scores
#####
###!good### gol #player
#####
###!good### goal! #player!
#####
###!good### theo #player goal #score
#####
###!good### #player get in!!!  
#####
###!good### #player is a genius!!!!!
