###!bad### If a Stoke player had done that to Alexis down the other end, most Arsenal fans on here would be screaming penalty and calling them thugs.
####################
###!bad### Bloody stupid from Xhaka but I'm struggling to see how the refs not given him a straight red? What does he think he's seen... #AFCvSCFC #BPL
####################
###!good### I love you Bellerin. Missed the lad soo much.
####################
###!bad### This is one of the worst calls I've seen holy fuck https://t.co/DFuPerPqD4
####################
###!bad### bellerin still cannot pass/cross
####################
###!good### Incredible last-ditch intervention from Diouf to stop what would've been a certain goal from Ozil. 0-1. #ARSSTK
####################
###!good### Spot on. https://t.co/H7mmOTgErD
####################
###!bad### xhaka is now playing nonsense
####################
###!bad### Cant see how people are bitching at the ref , bitch at Xhaka
####################
###!bad### Xhaka this ain't bloody rugby
####################
###!good### What a clearance by Diouf!!!!
####################
###!good### Mignolet is the PL's best at saving pens, he's surprisingly really good at it https://t.co/szRnBp0a5R
####################
###!bad### Xhaka dafuq???
Keep your cross down
###!bad### Awful elbow from Xhaka, don't know how he hasn't seen red. #SCFC #Arsenal https://t.co/QMA00GoPts
####################
###!good### One day Cech will save a penalty for us.
####################
###!bad### The hell is wrong with Xhaka today?
####################
###!good### Ospina is the guy bro https://t.co/rE5NwpvmPZ
####################
###!bad### What's going on with this Xhaka guy #afc
####################
###!good### #ARSSTK Good Job Granit Xhaka....For The Elbow to Allen.Its okay though GO GUNNERS!
####################
###!good### I thought this. Confirmed. This doesnt mean he's terrible btw. https://t.co/MeVmvMNFM7
####################
###!good### Never a foul that by Xhaka for me, but got to be red if he gives it, right?
####################
###!bad### Ozil you whimp you should want that more.
####################
###!bad### What is Xhaka doing on the pitch sef?@NAIJA102IBADAN @THEBEAT979FM #ThePLShow
####################
###!bad### Xhaka fuck off man
####################
###!bad### Ah fuck off Diouf
####################
###!bad### @N12gooner I don't it was a pen but many gooners are saying Xhaka's challenge was stupid. I don't even bother to engage in conversation.
####################
###!good### Everyone hating on xhaka for giving away 1 penalty like he's some God and ain't gonna make mistakes
####################
###!bad### Ali Mohamed Ali has launched his propaganda against Xhaka. Do you know why?
####################
###!good### Xhaka made that pass while he was slipping. How?
####################
###!bad### Lol Xhaka's coming off is swear
####################
###!good### Bellerin already making a difference. Stoke haven't accounted for his insertion at RB for Gabriel yet.
####################
###!bad### Really hard to say if it was or wasn't a penalty, elbow was high but wasn't looking at Allen and didn't seem as if there was intent
####################
###!bad### Gabriel-Koscielny has always been Arsenal's worst pairing. Can't pair two aggressive CBs together unless you're as good as Pepe-Ramos.
####################
###!bad### Me either RT @FrankSno9: Never heard of Peter Cech https://t.co/nAGcDtKGdu
####################
###!bad### *good movement from xhaka
AND THEN THE CROSS......
####################
###!good### Has there been a more inspired position switch than Diouf at right wing back!? #bbcfootball #SCFC
####################
###!bad### Ozil is playing shit...he's slightly becoming overrated
####################
###!bad### All I'm saying is, if Joe Allen doesn't die from that brutal elbow to the temple by Xhaka then he's a cheating little cunt
####################
###!bad### Stat: Petr Cech has faced 12 penalties in the Premier League since 2011/12, he's not saved a single one of them. #afc
####################
###!bad### No idea why Wilshere isn't at Arsenal instead of Xhaka. Bad decision
####################
###!good### Still can't believe Charlie Adam is not worthy of a spot in the Scotland midfield where we lack any creativity. https://t.co/2lwyuE6LMq
####################
###!bad### Ozil really needs to step up and show more effort. He should have had 2 goals. #afc
####################
###!bad### That ball from Xhaka was not
####################
###!bad### Its ok people saying that Wenger aint been playing Xhaka because he is a liability but we knew what we were signing
####################
###!good### Nearly, from a cross from Xhaka. Arsenal pushing hard for a leveller.
####################
###!bad### Xhaka what's wrong with you today?
####################
###!bad### @sabret00the Xhaka saw him coming &amp; still did it, should be off
####################
###!bad### @IAmBeckish @gunnerblog Was a foul, and so unnecessary for Xhaka to do. He'd already won the ball back.
####################
###!bad### Xhaka can get sub at the half tho
####################
###!good### Yep yep Ospina needed https://t.co/kCeqHhlf2C
####################
###!good### Look how good Bellerin is man
####################
###!bad### @PhillyHotspur more as in what could Xhaka have really done? It was a coming together. Super unlucky and harsh on player imo.
####################
###!good### Arsenal fans: Cech will save this penalty 
Cech: https://t.co/sEZ0mJxXby
####################
###!bad### @HorsemanZiik he didn't had to stick his elbow out at Allen like that
####################
###!bad### Xhaka is having a nightmare
####################
###!bad### Somebody come for Xhaka nuh stupse
####################
###!good### Wtf you on about, he's been responsible for our best moves this game. https://t.co/2bEbo2NZuq
####################
###!bad### Xhaka not playing well, that's for sure
####################
###!bad### Xhaka needs to take it easy at the gym. Should take a break from leg day. Too many heavy passes and crosses #afc
####################
###!bad### This your Xhaka is rubbish
####################
###!bad### And they said xhaka is better than pogba
####################
###!bad### @GoodmanESPN  #espnnow Allen twice kicked players in the nuts... and ESPN celebrated his play... Coach K laughed... and Allen got to play
####################
###!bad### If we ever get in a penalty shoot out sub him https://t.co/IfPxDyLS4o
####################
###!bad### What good does Xhaka do??
####################
###!bad### If someone like Theo or Ramsey gave away as many chances to the other team as Xhaka niggas would be roasting.
####################
###!bad### Fuck off Xhaka Suiss fucking dickhead
####################
###!bad### lol Xhaka is actually shite
####################
###!bad### If someone like Theo or Ramsey gave away as many chances to the other team as Xhaka niggas would be roasting.
####################
###!bad### Look at Xhaka lol
####################
###!good### My baby Bellerin is back
####################
###!bad### Some have pointed out and I agree, if Xhaka got called for a penalty for an elbow to the face, wouldn't that also be a card?
####################
###!good### Xhaka's long balls are catching Stoke off guard. We need a goal so badly!
#COYG
####################
###!bad### Xhaka having a bad day
####################
###!bad### Xhaka doesnt play little dinks does he. Its smash it or nothing
####################
###!bad### Everytime Wenger starts to trust Xhaka he does something like this smh
####################
###!bad### @Heisenbergkamp @gunnerblog @arse2mouse unrelated to this discussion, but when did Alexis last touch the ball?
####################
###!good### Watch Xhaka score now tho
####################
###!bad### @gunnerblog incoming Diouf injury.
####################
###!good### Diouf showing just why he's one of our best defenders there.
####################
###!good### Allen winning the penalty and Adam scoring it, against Arsenal. Beautiful.
####################
###!bad### Not a good performance for Xhaka today
####################
###!good### Charlie Adam get in there son. Finally doing something good for Liverpool 2 years after we sold him #LFC
####################
###!bad### Cech can never save a penalty for us
####################
###!bad### @premierleague will Xhaka get a ban? Probably not cos it's #Arsenal not #SCFC #ARSSTK
####################
###!bad### WTF CECH HEADER.
####################
###!good### That is sensational defending from Diouf
####################
###!good### If I remember correctly Cech saved a penalty for Chelsea against Bayern in the UCL finals
####################
###!bad### Cech never saves penalties. Just think with his frame and experience he would be more dominant
####################
###!good### Alexis Sanchez ,mesut ozil,Hector Bellerin world class but wrong team#AFCvSCFC
####################
###!bad### Xhaka thats too much on the cross we had three players lined up #afcvscfc
####################
###!bad### If it's an intentional elbow by Xhaka it's a least a yellow card and if it's not then it's not a penalty. You can't have 1 without the other
####################
###!bad### Lol... Cech
####################
###!bad### CECH WAKE UP
####################
###!good### hector bellerin is a fucking babe tho
####################
###!bad### What on earth is cech doing
####################
###!good### c'mon lads there's still time to turn things ard. dibs on sanchez to get a goal haha
####################
###!good### Charlie adam scores birthday goal. Stoke up against arsenal
####################
###!bad### XHAKA lmfaoo awful
####################
###!bad### Watch Xhaka get benched next game. #AFCvSCFC #AFC
####################
###!bad### Xhaka has been bad, Coq has not touched the ball yet #afc
####################
###!bad### Cech gives me heart palpitations
####################
###!bad### Xhaka main abilities 
Over hitting everything 
Fouling 
Breaking bones
####################
###!bad### the likes off Xhaka and Sane should thank Pogba's pricetag for covering their shitty performance this season
####################
###!bad### Lol cech. A wah that
####################
###!bad### A blind man will score a penalty against cech...
####################
###!bad### Cech... Lmfao
####################
###!bad### @ramuklawjju That was reckless from Xhaka
####################
###!bad### WHAT THE FUCK CECH?
####################
###!bad### Walcott is useless
####################
###!bad### Xhaka needs to be taken off.
####################
###!good### welcome back Hector bellerin
####################
###!bad### Cech that out
####################
###!bad### Cech? Helmet on too tight?
####################
###!bad### The commentator on my stream actually just said, "should more action have been taken against Xhaka there?"

I'M. ABOUT. TO. LOSE. IT.
####################
###!bad### Cech don't be stupid.
####################
###!bad### Xhaka is actually having a mare
####################
###!bad### Cech ????? Crazy man #Arsenal
####################
###!bad### Cech got lucky there!
####################
###!bad### Cech wth u doing
####################
###!bad### Wtf Cech why
####################
###!bad### Imagine if a Stoke player had done that to say Sanchez or Ozil in the oppostion's box. Arsenal fans have to be consistent #ARSSTK
####################
###!bad### Lmao Cech is finished keeper smfh
####################
###!bad### @TheOddsBible are you stupid or just playing? It's an obvious penalty he touched zero of the ball(xhaka)
####################
###!bad### Xhaka, HOW???
####################
###!bad### Xhaka needs to calm the fuck down brah
####################
###!bad### Lmaoo! What's Petr Cech doing?
####################
###!bad### xhaka needs to whack that little manlet, joe allen, in the head for real this time
####################
###!bad### LOL Cech
####################
###!bad### Cech dawwwggg TF
####################
###!bad### Why is Sanchez playing so deep?
####################
###!bad### Yeeeeeeah, Cech. Let's not test out that cap.
####################
###!bad### Wtf Sanchez get out of Xhaka's way
####################
###!bad### Cech is a cunt
####################
###!bad### Cech has been poor for a while now
####################
###!bad### @sussexstokie never a pen according to Jenas on BT. Allen must have attacked Xhakas elbow with his face
####################
###!good### Wahh...great defensive work... I swore Ozil made it 1-1
####################
###!good### Cech brave ic
####################
###!bad### Here come the "blame Ozil" tweets
####################
###!good### Xhaka is 2ft taller than Allen. How is he supposed to lower his arms when they are naturally level with Allen's face?
####################
###!good### @gunnerblog @arse2mouse @Heisenbergkamp so when someone runs at you at full speed you are not allowed to protect yourself? Allen runs into X
####################
###!bad### Fucking Cech
####################
###!bad### What the fuck is Diouf doing back there?
####################
###!bad### Where is Alexis Sanchez???
####################
###!good### Argh. Ozil close. #ARSSTK
####################
###!bad### Wtf Cech
####################
###!bad### Cech cannot catch p.k
####################
###!bad### Sanchez is dropping deep to try and influence the game. It isn't working. #afcvscfc
####################
###!good### Charlie Adam found his birthday present and it was in the back of the net #PLonNBC https://t.co/oIKAoiFVST
####################
###!bad### Lol cech wut?
####################
###!bad### Fellani is the only midfield player you can compare with xhaka others are way ahead of him...
####################
###!bad### Cech is a cunt?
####################
###!bad### i honestly mentally disturbed with xhaka today. pls
####################
###!bad### Petr Cech is drunk.
####################
###!bad### Cech just dives to anywhere before any penalty is being played
####################
###!bad### Cech is becoming rusty. Bring on Ospina!
####################
###!bad### Cech is utter pony
####################
###!bad### Terry Butcher: "There's a song called Chaka Khan but Xhaka Can't."

No, Terry.
####################
###!bad### Fuck off Xhaka, I like him but he's been fucking awful today
####################
###!good### Wonderful homage to Szczesny by Petr Cech there. Love it when players acknowledge the club's history.
####################
###!bad### 3 free men if xhaka tones down the power on his cross there. Need to be patient. #ARSSTK #afc
####################
###!bad### If it's an elbow to the face then surely it's a yellow/red in order to give a penalty?!! I'm confused Allen just runs into his elbow
####################
###!bad### Xhaka's best abilities is conceding penalties and getting booked
####################
###!bad### Lmfaoo, cech
####################
###!bad### the last time maybe the only time Petc Cech is good at saving penalty was that Munich night https://t.co/pYTIv7xlb2
####################
###!bad### Petr Cech, what was that?
####################
###!bad### @mebewale Stonewall penalty. Stupid and reckless from Xhaka
####################
###!bad### Ozil missing yet again but the team has not played well so far 
Stoke been the better team imo
####################
###!bad### No presence up front. Alexis keeps dropping deep.
####################
###!good### Outstanding from Diouf to get to that, otherwise that was a certain goal for Mesut.
####################
###!bad### Time to bin Cech.
####################
###!bad### Cech. I'm laughing now but that was NOT funny
####################
###!good### Jamie Allen scores from the penalty spot on 33 mins after he was tripped in the area by Paddy Miller (0-3) #FARvSOU
####################
###!bad### cech wut you doin mate?
####################
###!bad### Lol Cech's gone mental, oh boy
####################
###!bad### Agreed.  But would be nice if Cech could save a penalty.  Ever.  Zero of 7 since joining club by my count. https://t.co/Rg9vna2ZzE
####################
###!bad### What was Cech doing ?
####################
###!bad### Cech wtf was that
####################
###!bad### I really dislike Cech. Helmet nonce.
####################
###!bad### Lol cech
####################
###!good### Xhaka will grow Into the league. Who can forget a raw Koscielny LOL
####################
###!bad### Cech became flappy bird
####################
###!good### At least Bellerin's back
####################
###!bad### Lol Cech
####################
###!bad### Am done with Cech tbh
####################
###!bad### I rate Xhaka but he's bit of a loose cannon. His thrid mistake of the season at home.
####################
###!bad### Allen was overreacting a little bit still https://t.co/9wuhMOmtzI
####################
###!bad### Cech nearly fucked up
####################
###!bad### WTF from Cech
####################
###!bad### Xhaka needs to clear his head #AFCvSCFC trying too hard after penalty
####################
###!good### Charlie Adam: Has scored his first goal
since May (vs Crystal Palace) #ARSSTK
####################
###!bad### Cech almost made a big mess there. #ARSSTK
####################
###!good### Here for Joe Allen goal
####################
###!bad### Anybody who watched Xhaka in the Buli knows he did this on a regular https://t.co/NoFZruwRBU
####################
###!good### Don't think Xhaka meant that. Can see why it was given but think he was a bit unlucky
####################
###!bad### #afc #arsstk #afcvscfc what kind of a cross was that Xhaka
####################
###!bad### Cech on some green today so obvious
####################
###!bad### @Saad_Gooner at least he didn't hurt anyone. Xhaka usually goes out to damage players.
####################
###!bad### @Arsenal @HectorBellerin @MesutOzil1088 sell Walcott
####################
###!bad### Xhaka having a bad game.. #Arsenal
####################
###!bad### Cech... Has he ever saved a penalty before?
####################
###!bad### Take off your skully before heading the damn ball Cech
####################
###!good### we've missed Bellerin
####################
###!bad### Wait, where is Gabriel?? Didn't realise bellerin was playing until now https://t.co/sQMSVobu9Q
####################
###!bad### Xhaka is having a nightmare
####################
###!bad### That wasn't funny Cech...
####################
###!bad### Maybe that's why wenger doesn't start xhaka much. Disciplinary issues maybe? That's a 50/50 pen for me, can't really argue with that tbh. L
####################
###!good### In the last minute two great off the ball moves by Ozil completely ignored by both teams
####################
###!bad### Cech is part of our problems right now
####################
###!bad### Lol Cech
####################
###!bad### Xhaka lacks discipline, did in the Bundesliga.
####################
###!bad### We seem a bit rattled. Everybody from Hector to Xhaka to Cech needs to CALM DOWN
####################
###!bad### Xhaka keeps overpowering his passes ffs
####################
###!good### Xhaka's been quality today
####################
###!bad### Cech you lunatic #AFCvSCFC
####################
###!bad### Cech can't save penalty to save his life
####################
###!bad### Playing him seem to be more costly https://t.co/0KAflKDDNv
####################
###!bad### i hate cech
####################
###!bad### Wdf cech doing now
####################
###!bad### Come on Sanchez dont disappoint today please
####################
###!good### Charlie Adam: Has scored his first goal since May (vs Crystal Palace) #ARSSTK
####################
###!good### Coquelin &amp; Xhaka have been good. Everyone else has been pissing about.
####################
###!good### Bellerin has a shot on goal that's deflected away towards a waiting Ozil, but Diouf slides in front and denies spectacularly! #SCFC #TBPTV
####################
###!bad### @SantCazorIa great opening 15 minutes for Arsenal. Xhaka the idiot gave away a penalty.
####################
###!bad### I'm going to sell cech dude can't keep a damn clean sheet
####################
###!bad### I have no idea why. Always. It's always a lost with cech and penalties https://t.co/RLdLSYLPrA
####################
###!bad### Remember Szczesny saying that Wenger gave him stick for not catching any pens, I wonder what Wenger says to Cech. He is poor with pens.
####################
###!bad### Heard Ozil has been shit. Lmao what's new
####################
###!bad### @Dxrlow @afcstuff exactly, Xhaka will 100% get banned, disgrace
####################
###!bad### Xhaka should watch his fucking arms, even if Stoke milked it.
####################
###!good### how did cech header that? looks like he is healing up nicely.
####################
###!bad### Cech is all over the place
####################
###!bad### Has Chamberlain touched the ball in this game?
####################
###!bad### Fuck off Cech
####################
###!bad### Fuck sake! Sanchez C looking like a bad decision this week! I might make a new rule to move C everyweek regardless #fpl
####################
###!good### Great pass Bellerin
####################
###!bad### Haven't seen much of Alexis
####################
###!good### Good defending by Diof to stop Ozil, the resulting came to naught #ARSSTK #SSFootball
####################
###!bad### Crossing balls to to 5ft 8 Alexis against 6ft 4 Martins Indi....... good plan......
####################
###!good### @PadFul no but seriously- Well done to Charlie Adam for scoring on his bday. You only turn 45 once
####################
###!good### Good chance for Allen but his shot is comfortably saved.
####################
###!good### He has the highest number of clean sheets in premier league history mate. "@ShejiUnited: Cech doesnt keep cleansheets"
####################
###!bad### Got sent off, gave the ball away which led to a goal for Swansea and now this. #Xhaka
####################
###!bad### Nah nah cech is finished
####################
###!bad### With the antics today's, and the Liverpool goal last season. I utterly despise Joe Allen. #baddjname #annoying #pleasegoaway
####################
###!bad### I don't think I want to see Cech head a ball ever again
####################
###!bad### No helmet and that's over Cech's head
####################
###!bad### Arnautovic is a problem
####################
###!bad### The number of passes Sanchez misses is ridiculously frustrating.
####################
###!bad### Unnecessary fouls and goals conceded https://t.co/H8jbfkLbYK
####################
###!bad### Jesus fucking Christ, I really do not trust Cech.
####################
###!good### Alexis is better than Hazard. And the difference is striking. Literally. https://t.co/Ned27Bgcw0
####################
###!good### Hector Bellerin is my spirit animal
####################
###!good### Bellerin showing what we've been missing. Very sharp and direct
####################
###!bad### Ozil ghosts when we are not playing well and wants to demand high wages uno.
####################
###!bad### Cech are you alright
####################
###!bad### I don't like when sanchez drops so deep
####################
###!good### Just look at the quality from Bellerin, man should just become a winger
####################
###!bad### I want to understand something: why was Xhaka not given any card for that challenge? #bbcfootball #ARSSTK #EPL
####################
###!bad### Cech...relax my guy
####################
###!good### Loool wtf was Xhaka supposed to do? Ridiculous decision  https://t.co/WfB0kxzxRY
####################
###!good### what a pass by xhaka good foot work by belllerin but unlucky
####################
###!bad### Walcott still shit
####################
###!bad### Seriously fuck u Cech
####################
###!bad### Cech leave my club
####################
###!good### we missed you Bellerin
####################
###!bad### Xhaka and heavy long passes
####################
###!bad### Mood: regretting captaining Sanchez
####################
###!bad### Cech is slowly declining #AFCvSCFC
####################
###!bad### #afc #arsstk #afcvscfc absolutely no confidence during penalties when Cech is in goal. He never saves one!
####################
###!good### GOAL for #Southportfc - Jame Allen scores from the spot to give the visitors a 3-0 lead at #FarsleyCeltic
####################
###!good### @mediocentroEN Walcott guaranteed to score.
####################
###!bad### Never been a fan of xhaka, just too many costly errors #afcvscfc @GunnersAFC
####################
###!bad### Cech nearly done me btw
####################
###!good### Bellerin is too much
####################
###!good### All this talk sha, Sanchez needs to do back to back Hattrick.
####################
###!good### #PREMIERXESPN go Alexis, go Arsenal!!!
####################
###!bad### Cech fucking around lol
####################
###!bad### Walcott why did you let that be a corner
####################
###!bad### And can we stop playing Chamberlain abeg. This guy is mid table quality really.
####################
###!bad### Wtf is wrong with Xhaka?
####################
###!bad### What the fuck was Cech doing there?
####################
###!good### Xhaka still unreal. One error doesn't change that lol
####################
###!bad### Such an overrated midfielder
Just a poor man's Joe Allen https://t.co/5Ldtahqeyz
####################
###!good### 36' Ozil has a shot blocked, close. 0-1 #ARSSTK
####################
###!bad### Ozil MIA again a thoroughly shit performance so far.
####################
###!bad### how on earth did Xhaka not get sent off
####################
###!bad### @Sufi_Ariff bloody stoke 1-0 xhaka conceded the penalty
####################
###!bad### @FutbolVK Cech has never been a class GK. Always protected John Terry and co.
####################
###!bad### Xhaka needs to calm down. Lots of people concede penalties. This is Arsenal. Keep playing your game.
####################
###!good### what a ball bellerin
####################
###!good### It's one of those where if it's outside the box it's 100% foul, but in the box it's debatable. Don't think there was any intent from xhaka.
####################
###!good### Good game so far Xhaka man of the match for me.
####################
###!good### Charlie Adam: Has scored his first goal since May (vs Crystal Palace) #ARSSTK
####################
###!bad### Allen misses a glorious chance with no one around him
####################
###!good### First and likely last time will celebrate anything Charlie Adam does! Come on Stoke. https://t.co/f2DmhzDxvv
####################
###!bad### I don't like when sanchez drops so deep
####################
###!bad### Monreal needs to get involved
####################
###!good### You can see the difference Bellerin makes already
####################
###!bad### To me, that's a red card, or it's not a foul. Xhaka has the ball, Allen runs into him. If he lashed out, red. If not, no foul
####################
###!bad### Cech is taking he piss
####################
###!bad### He's our playmaker if he isn't doing anything then neither does anyone else https://t.co/CQke16M2jM
####################
###!good### Nacho Monreal has to be the coolest name in the @premierleague. #ARSSTK
####################
###!bad### Lee Mason has done us a favour by not sending Xhaka off. Looked like red to me
####################
###!good### Sanchez is out ere whatever the weather. Even if he's playing shit you'll always see him in the game
####################
###!bad### Chamberlain is not even in this match
####################
###!bad### Sanchez fc what's up? Turn up turn up turn up
####################
###!bad### @FutbolVK Cech has never been a class GK. Always protected by John Terry and co.
####################
###!good### Cech saved penalties at Chelsea though.
####################
###!good### Xhaka scored 2 goals from long range, he immediately went ahead of Scholes and Gerrard.
####################
###!bad### Xhaka is terrible - complete waste of money. Started two games - has been sent off &amp; now gives away a penalty #AFCvsSCFC
####################
###!bad### He's bad making challenges on players https://t.co/HSB6Xb9eaL
####################
###!good### Alexis Sanchez has earned my respect, definitely World class and a top 5 EPL player.
####################
###!good### Sanchez needs to keep playing on the shoulder like he has done. When we go down, he wants to be involved by dropping to the left.
####################
###!bad### Arnautovic so useless! Free my mans Bony
####################
###!bad### @NBCSportsSoccer charlie adam sucks.
####################
###!bad### II blame Xhaka tbh
####################
###!bad### Theo Walcott is the most bang average footballer in this league. Don't care how many goals he's got can't even beat a player 1v1.
####################
###!bad### I'm afraid xhaka as good as he is he is our new flamini just on the edge of a red card.... He's got a bad disciplinary record anyway
####################
###!bad### @gunnerpunner Ox and Ozil need to show up or else Alexis can't do much.
####################
###!good### Remembering that Bellerin is still only 21 makes me weep with joy. What a baller.
####################
###!bad### Xhaka is a bit shit isn't he
####################
###!bad### Aside from the goal we've been lethargic &amp; disjointed. Bellerin inclusion is nice to see but been wasteful with opportunities.
####################
###!bad### Ozil can be lazy shaaaa. 
So annoying
####################
###!bad### Cech is shite
####################
###!bad### Ozil has been awful today
####################
###!bad### What the fuck is Cech doing
####################
###!bad### No red card for Xhaka... what's that all about? #ARSSTK
####################
###!bad### Clear red card for xhaka ffs! Blind perry mason. #StokeCity
####################
###!good### charlie adam superb player!
####################
###!bad### When are these Xhaka fanboys gonna realise he's a complete liability?
####################
###!bad### Fuck off Charlie Adam
####################
###!good### @YankeeGunner at least Bellerin is back (hopefully close to 100%)
####################
###!bad### Sanchez playing?
####################
###!bad### Xhaka has just given Wenger the excuse he needs to drop him for another 4 games, oh dear
####################
###!bad### How is that not a red? Xhaka
####################
###!bad### @ArsenalFanTV ..You remember the last time petr Cech saved a penalty? Not sure he's ever saved any for Arsenal.
####################
###!bad### Directly or indirectly xhaka has caused us to concede 3-4 goals already this season
####################
###!bad### Xhaka looks a poor player, way off the quality needed. #AFC
####################
###!bad### Xhaka isn't desciplined at all
####################
###!bad### Xhaka has some issues man lmaoo
####################
###!bad### Joe Allen ur a fucking pussy m8
####################
###!bad### No doubt xhaka be reckless occasionally
####################
###!bad### Xhaka should've seen red.
####################
###!bad### How the fuck did Xhaka not get a card for that, Fellaini or Luiz would've gotten a red card instantly
####################
###!bad### Xhaka is a liability?
####################
###!bad### Fuck u Joe Allen. I seriously hope he gets hurt . Maybe bump into the ref
####################
###!good### Thought El Nenny-Xhaka combo should be given more time
####################
###!bad### Wtf Cech
####################
###!bad### xhaka is such garbage
####################
###!bad### When is ozil not offside?
####################
###!good### so good to have bellerin back
#afcvscfc
####################
###!bad### @jasoncundy05 have you seen Mesut Ozil?? I can't find him
####################
###!bad### Xhaka needs to use his brain more.
####################
###!bad### @ArsenalFanTV Ozil s in one of his funks today, need a sub at halftime or this game is good as lost ,
####################
###!bad### Allen for Stoke is a pussy. Huge pussy.
####################
###!good### @Thee_mavERIC mingi sana! Cech has saved us points on numerous occasions.
####################
###!bad### Fuck off ozil and bellerin is a knobhead
####################
###!bad### @stokecity Joe Allen is a total bitch
####################
###!bad### come on xhaka so inconsistent
####################
###!bad### It was a clear penalty, clumsy from Xhaka...
####################
###!good### Xhaka been the only player for us taking risks and trying to open Stoke up. Clueless rival fans piping up too, calma
####################
###!bad### Xhaka you idiot
####################
###!good### Alexis may be adjusting to being a CF but for me his best position is wide.
####################
###!bad### Cech always goes the wrong even before the PK is taken. Be brave Petr!
####################
###!bad### Bellerin is so rusty man, he's clearly lacking match fitness
####################
###!bad### that's quite a bad decision by xhaka there to give away the penalty
####################
###!bad### @xjaeee yeah I avoid all things Cech now
####################
###!bad### we keep pretending as if assigning our midfield defensive duties to Xhaka is a good idea. I beg to differ
####################
###!bad### He doesn't save pk's  ever https://t.co/IHPIPgsFsS
####################
###!bad### Offside, Stoke City. Marc Muniesa tries a through ball, but Marko Arnautovic is caught offside. https://t.co/CnHsrl6R7W #ARSSTO
####################
###!bad### Corner,  Arsenal. Conceded by Mame Biram Diouf. https://t.co/LXH8Aess60 #ARSSTO
####################
###!good### MONREAL LOVE  YOU.
####################
###!bad### Why is ozil caught offside 5 times every game
####################
###!bad### Xhaka is a fucking dumbass.
####################
###!good### Joe allen is a beast rho
####################
